"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"FortSimpson","62","-121.4","90","America/Whitehorse","7","71365","2202102"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"c","cloud type","atmospheric material",NA,"cloudatlas","sub-daily","historical","original_observation","field method","c",NA
"cv","wind speed","atmospheric material",NA,"okta","sub-daily","historical","original_observation","field method","n",NA
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"hd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"pr","precipitation","precipitation",NA,"mm","sub-daily","instrumental","original_observation","field method","n",NA
"ptb","hour","precipitation",NA,"hh:mm","sub-daily","historical","original_observation","field method","n",NA
"pte","hour","precipitation",NA,"hh:mm","sub-daily","historical","original_observation","field method","n",NA
"sd","snowfall","precipitation",NA,"cm","sub-daily","instrumental","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"ta_mean","air temperature","atmospheric material",NA,"C","daily","instrumental","mean","computational method","n",NA
"w","wind speed","atmospheric material",NA,"mps","sub-daily","instrumental","original_observation","field method","n",NA
"ObservationDate","c","cv","dd","hd","pr","ptb","pte","sd","ta","ta_mean","w"
1849-10-17 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-18 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-18 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-18 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-18 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-18 06:00:00,"Cl2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-18 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-18 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-18 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-18 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-18 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-18 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-18 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-18 09:00:00,"Cl2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-18 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-18 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-18 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-18 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-18 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-18 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-18 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-18 12:00:00,"Cl2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-18 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-18 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-18 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-18 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-18 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-18 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-18 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-18 15:00:00,"Ch6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-18 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-18 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-18 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-18 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-18 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-18 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-18 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-18 18:00:00,"Cl2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-18 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-18 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-18 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-18 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-18 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-18 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-18 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-18 21:00:00,"Cl2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-18 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-18 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-18 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-19 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-19 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-19 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-19 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-19 06:00:00,"Ch6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-19 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-19 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-19 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-19 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-19 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-19 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-19 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-19 09:00:00,"Ch6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-19 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-19 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-19 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-19 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-19 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-19 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-19 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-19 12:00:00,"Cl2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-19 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-19 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-19 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-19 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-19 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-19 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-19 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-19 15:00:00,"Cl2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-19 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-19 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-19 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-19 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-19 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-19 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-19 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-19 18:00:00,"Ch6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-19 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-19 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-19 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-19 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-19 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-19 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-19 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-19 21:00:00,"Cl2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-19 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-19 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-19 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-20 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-20 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-20 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-20 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-20 09:00:00,"Ch6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-20 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-20 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-20 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-20 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-20 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-20 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-20 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-20 12:00:00,"Ch6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-20 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-20 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-20 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-20 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-20 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-20 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-20 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-20 15:00:00,"Ch6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-20 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-20 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-20 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-20 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-20 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-20 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-20 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-20 18:00:00,"Ch6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-20 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-20 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-20 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-20 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-20 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-20 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-20 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-20 21:00:00,"Ch6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-20 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-20 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-20 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-21 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-21 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-21 06:00:00,"Cl2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-21 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-21 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-21 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-21 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-21 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-21 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-21 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-21 09:00:00,"Ch6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-21 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-21 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-21 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-21 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-21 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-21 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-21 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-21 12:00:00,"Cl2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-21 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-21 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-21 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-21 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-21 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-21 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-21 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-21 15:00:00,"Cl2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-21 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-21 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-21 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-21 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-21 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-21 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-21 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-21 18:00:00,"Ch6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-21 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-21 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-21 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-21 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-21 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-21 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-21 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-21 21:00:00,"Ch6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-21 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-21 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-21 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-22 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-22 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-22 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-22 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-22 09:00:00,"Cl2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-22 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-22 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-22 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-22 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-22 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-22 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-22 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-22 12:00:00,"Ch6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-22 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-22 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-22 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-22 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-22 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-22 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-22 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-22 15:00:00,"Cl2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-22 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-22 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-22 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-22 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-22 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-22 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-22 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-22 18:00:00,"Ch6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-22 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-22 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-22 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-22 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-22 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-22 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-22 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-22 21:00:00,"Cl2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-22 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-22 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-22 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-23 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-23 06:00:00,"Cl2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-23 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-23 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-23 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-23 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-23 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-23 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-23 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-23 09:00:00,"Cl2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-23 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-23 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-23 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-23 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-23 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-23 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-23 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-23 12:00:00,"Cl2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-23 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-23 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-23 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-23 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-23 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-23 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-23 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-23 15:00:00,"Cl2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-23 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-23 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-23 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-23 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-23 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-23 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-23 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-23 18:00:00,"Cl2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-23 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-23 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-23 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-23 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-23 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-23 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-23 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-23 21:00:00,"Cl2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-23 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-23 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-23 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-24 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-24 06:00:00,"Cl2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-24 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-24 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-24 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-24 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-24 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-24 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-24 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-24 09:00:00,"Cl2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-24 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-24 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-24 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-24 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-24 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-24 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-24 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-24 12:00:00,"Cl2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849-10-24 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
